"# DHN-LP vanilla sweep summary (patterns: p1, c2, p3; no input features)"
"# Each row is mean / std across 3 seeds: 1566911444, 20241017, 20251017"
# Random baseline rows are included per task for direct comparison.

task,variant,K_negs,auc_mean,ap_mean,mrr_mean,hits@1_mean,hits@3_mean,hits@5_mean,best_epoch_mean,auc_std,ap_std,mrr_std,hits@1_std,hits@3_std,hits@5_std,best_epoch_std
md,RANDOM,19,0.5000,0.0500,0.1798,0.0500,0.1500,0.2500,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
md,v1,19,0.5208,0.0863,0.2588,0.1208,0.2791,0.3840,3.0000,0.0060,0.0012,0.0028,0.0035,0.0054,0.0064,0.0000
md,v3,19,0.5393,0.0713,0.2448,0.1041,0.2520,0.3620,4.0000,0.0015,0.0032,0.0084,0.0110,0.0142,0.0041,0.0000

mg,RANDOM,2,0.5000,0.3333,0.6111,0.3333,1.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mg,v1,2,0.4972,0.3321,0.6091,0.3293,1.0000,1.0000,3.3333,0.0189,0.0101,0.0227,0.0358,0.0000,0.0000,1.2472
mg,v2,2,0.5004,0.3330,0.6141,0.3397,1.0000,1.0000,6.3333,0.0312,0.0196,0.0231,0.0372,0.0000,0.0000,4.7842
mg,v3,2,0.4995,0.3350,0.6160,0.3377,1.0000,1.0000,2.3333,0.0312,0.0189,0.0285,0.0446,0.0000,0.0000,0.4714
mg,v4,2,0.5002,0.3350,0.6118,0.3325,1.0000,1.0000,2.0000,0.0210,0.0120,0.0257,0.0413,0.0000,0.0000,0.8165

ml,RANDOM,19,0.5000,0.0500,0.1798,0.0500,0.1500,0.2500,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ml,v1,19,0.4286,0.0415,0.1339,0.0263,0.0857,0.1503,1.0000,0.0063,0.0009,0.0067,0.0052,0.0073,0.0153,0.0000
ml,v2,19,0.4283,0.0414,0.1324,0.0251,0.0833,0.1475,1.0000,0.0062,0.0009,0.0076,0.0068,0.0054,0.0171,0.0000
ml,v3,19,0.4332,0.0421,0.1342,0.0239,0.0873,0.1575,1.0000,0.0069,0.0009,0.0070,0.0054,0.0059,0.0193,0.0000
ml,v4,19,0.4336,0.0421,0.1349,0.0251,0.0861,0.1579,1.0000,0.0068,0.0009,0.0076,0.0059,0.0059,0.0230,0.0000

